gene_id,log2foldchange,pvalue,padjust,gene_chr
AGAP004724,-2.16170653212369,0.307808456579382,1,AgamP4_2L
AGAP009631,-0.182570750161135,0.307869521582053,0.558713277248304,AgamP4_3R
AGAP029422,2.1576929852202,0.307873449321077,1,AgamP4_3R
AGAP009903,0.182713887021386,0.308064319177957,0.558961465335889,AgamP4_3R
AGAP002597,0.115622503027975,0.308124800664534,0.558965898511984,AgamP4_2R
AGAP007945,0.425515852818056,0.308450831091075,0.559451968783078,AgamP4_3R
AGAP002663,0.36518889380415,0.308646205284508,0.559700923196215,AgamP4_2R
AGAP012719,1.13655406437085,0.308656960129647,1,AgamP4_UNKN
AGAP029565,0.272776623920945,0.308799115904024,0.559872794667103,AgamP4_3R
AGAP009911,-1.57808794924154,0.308799983100018,1,AgamP4_3R
AGAP010150,0.195929065511134,0.309153532036557,0.560409875220042,AgamP4_3R
AGAP000367,-0.181983385093121,0.309580466585756,0.561078184736059,AgamP4_X
AGAP010817,-1.02277898059169,0.30981872285404,0.561404349916701,AgamP4_3L
AGAP002287,0.123661750563683,0.309928842672039,0.561498247512116,AgamP4_2R
AGAP005373,3.26317277052657,0.310053672467279,1,AgamP4_2L
AGAP005260,0.555591633633577,0.310076857218418,0.561660750774982,AgamP4_2L
AGAP004491,-0.524665286863788,0.31028136383044,0.56190683305581,AgamP4_2R
AGAP001780,0.170899745654201,0.310329399337956,0.56190683305581,AgamP4_2R
AGAP009787,0.25654608240821,0.310621426430874,0.562293409823239,AgamP4_3R
AGAP011954,0.265353501347791,0.310659665005654,0.562293409823239,AgamP4_3L
AGAP001395,0.412940719768879,0.310726288214257,0.562308320517007,AgamP4_2R
